Quantity,Designators,Value,Device,Package,MPN
2,"C1, C2",1μF,C-0603,C-0603,
7,"C3, C4, C5, C6, C8, C9, C13",100nF,C-0603,C-0603,
2,"C7, C11",10μF,C-1206,C-1206,
2,"C10, C14",10nF,C-0603,C-0603,
1,C12,220nF,C-0603,C-0603,
1,D1,"PESD1CAN,215","PESD1CAN,215",SOT23-3,"PESD1CAN,215"
1,F1,0ZCK0035FF2G,0ZCK0035FF2G,RESC2012 (0805),0ZCK0035FF2G
1,J1,690-005-299-043,EDAC 690-005-299-043,EDAC_690-005-299-043,690-005-299-043
1,J2,STLZ950/3G-5.08-H-GREEN,PTR STLZ950/3G-5.08-H-GREEN,PTR STLZ950/3G-5.08-H-GREEN,STLZ950/3G-5.08-H-GREEN
1,J3,,Generic Pin Header 2.54mm 1x04 ⌀1.0mm,Pin Header 2.54mm 1x04 ⌀1.0mm,
2,"L1, L2",BK1608LM182-T,0603 Ferrite Bead,RESC1608 (0603),BK1608LM182-T
1,LED1,OSRAM LG R971-KN-1 Green,OSRAM LG R971-KN-1,OSRAM CHIPLED 0805 Diffused,LG R971-KN-1
1,LED2,OSRAM LY R976-PS-36 Yellow,OSRAM LY R976-PS-36,OSRAM CHIPLED 0805 Diffused,LY R976-PS-36
1,LOGO1,Made With LibrePCB,LibrePCB Logo,LibrePCB Logo,
2,"R1, R3",10kΩ,Resistor 1608 (0603),RESC1608 (0603),
1,R2,dnm,Resistor 1608 (0603),RESC1608 (0603),
2,"R10, R15",680Ω,Resistor 1608 (0603),RESC1608 (0603),
1,U1,STM32F042C4T6,STM32F042C6Tx,LQFP50P900X900X140-48,STM32F042C4T6
1,U2,AP7370-33W5-7,AP7370-33W5,SOT95P280X145-5,AP7370-33W5-7
1,U3,ADM3057ETRWZ,ADM3057,SOIC127P1030X265-20,ADM3057ETRWZ
1,U4,USBLC6-2SC6,USBLC6-2SC6,SOT95P280X145-6,USBLC6-2SC6
